timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 10:32:31.374, 73, 2820 MHz, 252.11 W, 100 %, 9643 MiB
2026/09/19 10:32:32.374, 73, 2820 MHz, 253.74 W, 100 %, 9643 MiB
2026/09/19 10:32:33.374, 72, 2775 MHz, 256.36 W, 100 %, 9643 MiB
2026/09/19 10:32:34.374, 72, 2790 MHz, 255.79 W, 100 %, 9643 MiB
2026/09/19 10:32:35.374, 74, 2820 MHz, 256.55 W, 100 %, 9643 MiB
2026/09/19 10:32:36.374, 67, 2820 MHz, 249.37 W, 99 %, 9643 MiB
2026/09/19 10:32:37.375, 69, 2835 MHz, 224.26 W, 100 %, 9643 MiB
2026/09/19 10:32:38.375, 69, 2835 MHz, 229.92 W, 100 %, 9643 MiB
2026/09/19 10:32:39.375, 69, 2835 MHz, 229.99 W, 100 %, 9643 MiB
2026/09/19 10:32:40.375, 70, 2835 MHz, 231.10 W, 91 %, 9643 MiB
2026/09/19 10:32:41.375, 71, 2820 MHz, 252.93 W, 100 %, 9643 MiB
2026/09/19 10:32:42.375, 72, 2820 MHz, 252.70 W, 100 %, 9643 MiB
2026/09/19 10:32:43.375, 72, 2820 MHz, 255.25 W, 100 %, 9643 MiB
2026/09/19 10:32:44.376, 72, 2820 MHz, 255.37 W, 99 %, 9637 MiB
2026/09/19 10:32:45.376, 72, 2820 MHz, 257.77 W, 100 %, 9637 MiB
2026/09/19 10:32:46.376, 72, 2820 MHz, 258.12 W, 100 %, 9637 MiB
2026/09/19 10:32:47.376, 74, 2820 MHz, 258.24 W, 100 %, 9637 MiB
2026/09/19 10:32:48.376, 72, 2820 MHz, 260.80 W, 100 %, 9637 MiB
2026/09/19 10:32:49.376, 69, 2820 MHz, 226.57 W, 100 %, 9637 MiB
2026/09/19 10:32:50.376, 69, 2820 MHz, 230.27 W, 100 %, 9637 MiB
2026/09/19 10:32:51.377, 69, 2820 MHz, 230.06 W, 100 %, 9637 MiB
2026/09/19 10:32:52.377, 69, 2820 MHz, 229.97 W, 100 %, 9637 MiB
2026/09/19 10:32:53.377, 72, 2820 MHz, 248.72 W, 100 %, 9637 MiB
